doy,agriculture,forest,wetland,water,savanna,urban,mangrove,scrub_forest,rice,fresh_cut
1,0.74,0.813,0.686,0.309,0.551,,0.592,0.803,0.58,0.817
11,,,,,,,,,,
14,0.662,0.871,0.132,-0.023,0.539,0.458,0.563,0.836,0.818,0.846
17,0.692,0.854,0.495,0.239,0.506,0.52,,0.816,0.536,0.813
20,,,0.69,,,,,,,
30,0.599,,,,,,,,,
33,0.594,0.834,0.447,0.195,0.543,0.416,0.467,0.769,0.407,0.731
40,,,,,,,,0.831,,0.856
43,,,,,,,,,,
46,0.693,0.875,0.547,0.122,0.536,0.499,0.531,0.837,0.589,0.794
49,0.59,0.857,0.512,0.346,0.507,0.355,0.512,0.816,0.448,0.768
52,0.632,0.873,0.582,0.13,0.519,0.491,0.534,0.842,0.301,0.687
62,0.607,0.859,0.562,0.016,0.49,0.463,0.525,0.815,0.5,0.763
68,0.65,0.857,0.77,0.001,0.539,0.5,,0.823,,0.639
78,0.629,0.852,,,0.614,,,0.843,,0.583
81,0.548,0.852,0.541,-0.01,0.493,0.302,0.51,0.8,0.226,0.704
84,0.579,0.858,0.562,0.019,0.471,0.44,0.522,0.817,0.298,0.669
94,0.494,0.849,0.575,0.052,0.474,0.44,0.464,0.798,0.582,0.742
97,0.521,0.864,0.531,-0.146,0.529,0.402,0.512,0.807,0.337,0.635
100,0.568,0.861,0.563,0.021,0.498,0.414,0.56,0.811,,0.537
110,0.536,0.873,0.608,-0.149,0.624,,0.502,0.808,,
113,0.425,0.831,0.555,,0.387,0.354,0.459,0.758,0.74,0.602
116,0.447,0.847,0.528,0.045,0.501,0.453,0.532,0.797,0.796,0.464
126,0.492,0.852,0.609,-0.011,0.46,0.459,0.492,0.808,0.603,0.724
129,0.536,0.851,0.51,0.126,0.38,0.605,0.445,0.793,0.771,0.664
132,0.443,0.835,0.5,0.027,0.436,0.454,0.506,0.772,0.805,0.366
142,0.497,0.884,0.536,0.032,0.544,,0.433,0.856,0.76,0.768
145,0.438,0.829,0.508,0.065,0.425,0.414,0.469,0.737,0.702,0.588
148,0.429,0.837,0.514,-0.043,0.411,0.363,0.485,0.761,0.862,0.343
161,,,,,,,,,,0.457
164,0.471,0.836,0.531,0.048,0.458,0.476,0.493,0.741,0.744,0.396
174,0.448,0.877,0.453,0.079,0.608,,,0.865,0.806,0.842
177,,,,,,,,,,
180,0.538,0.843,0.545,0.217,0.537,0.485,0.48,0.77,0.728,0.492
181,,,,,,,,,,
187,,,,,,,,,,
190,0.593,0.851,0.644,,0.401,0.463,,0.795,0.528,0.671
193,0.613,0.839,0.749,0.152,0.488,0.507,,0.799,0.678,0.731
196,0.639,0.87,0.551,0.304,0.583,0.359,,0.839,0.453,0.557
203,,,,,,,,0.778,,
206,0.595,0.872,0.56,0.122,0.505,0.467,0.487,0.826,0.642,0.76
209,0.654,0.876,0.552,0.083,0.348,,,,,0.86
212,0.654,0.847,0.574,0.168,0.487,0.534,,0.809,0.436,0.575
216,,,,,,,,0.847,,
219,,,,,,,,0.851,,0.5
222,,,,,,,,,,
225,0.61,0.889,0.594,-0.067,0.503,0.457,0.529,0.848,,0.629
228,0.736,0.841,0.52,0.03,0.564,0.335,0.528,0.825,0.386,0.587
232,,,,,,,,0.882,,
235,,,,,,,,,,
238,0.537,0.841,0.586,0.189,0.487,0.462,0.542,0.815,0.602,0.7
241,0.577,0.867,0.61,0.011,0.472,0.445,0.487,0.835,0.308,0.689
244,0.708,0.85,0.553,0.202,0.595,0.503,0.482,0.839,0.468,0.644
248,,,,,,,,,,
254,0.792,0.804,0.574,0.296,0.659,,,0.821,,
257,0.502,0.815,0.552,0.194,0.488,0.44,0.495,0.751,0.304,0.593
260,0.724,0.867,0.567,0.019,0.606,0.463,0.504,0.86,,0.678
261,,,,,,,,0.895,,
267,,,,,,,,,,
270,0.738,,,,,0.595,,0.835,,0.655
273,,,,,,,,,,
276,0.723,0.87,0.447,0.007,0.619,0.509,0.526,0.85,0.655,0.686
286,0.784,0.846,,0.242,,0.528,,0.805,0.722,0.836
292,0.676,0.868,0.471,0.113,0.613,0.524,0.51,0.837,0.648,0.661
302,0.701,,,,0.787,,0.478,,,0.304
305,0.724,0.874,0.532,0.033,0.496,0.415,0.585,0.842,0.403,0.651
308,0.641,0.841,0.685,,0.658,,,,,0.716
318,0.662,0.891,0.464,0.175,0.56,0.501,0.528,0.853,0.597,0.814
321,0.769,0.89,0.602,0.015,0.607,0.582,0.539,0.852,0.391,0.797
324,0.689,0.833,0.508,,0.669,0.567,0.602,,,0.686
334,0.542,0.842,0.452,0.398,0.547,0.511,0.502,0.704,0.57,0.732
340,0.422,0.839,0.426,0.05,0.68,,,0.849,,0.709
344,,,,,,,,,,
350,0.641,0.894,0.408,0.022,0.576,0.494,0.537,0.857,0.591,0.807
356,0.609,0.87,0.552,0.196,0.602,0.513,0.592,0.851,0.438,0.681
357,,,,,,,,0.628,,
