doy,hourlyPrecipRateGC_mean
1,3.342
2,5.454
3,11.682
4,1.606
5,6.211
6,1.699
7,5.815
8,20.708
9,26.682
10,6.395
11,10.219
12,4.884
13,7.319
14,2.458
15,1.137
16,4.07
17,1.86
18,0.051
19,2.178
20,5.837
21,8.077
22,0.069
23,0.095
24,0.058
25,0.039
26,0
27,0.052
28,0.182
29,2.6
30,0.359
31,0.24
32,0.074
33,0.346
34,1.035
35,4.091
36,7.595
37,7.538
38,2.557
39,0.043
40,0
41,0
42,0.201
43,0.667
44,2.334
45,9.06
46,5.473
47,15.386
48,2.516
49,4.613
50,0.818
51,0.974
52,0.557
53,0.043
54,0.003
55,0.633
56,8.924
57,0.021
58,0.964
59,3.822
60,1.509
61,0.437
62,0.146
63,0.67
64,4.835
65,9.485
66,3.563
67,5.023
68,7.115
69,0.063
70,0.022
71,2.499
72,9.726
73,11.095
74,7.158
75,0.908
76,0.126
77,0.672
78,2.12
79,0.057
80,0.057
81,0.128
82,0.173
83,0.065
84,0.013
85,0.042
86,0.933
87,8.643
88,2.04
89,5.753
90,1.022
91,4.12
92,0.008
93,0.021
94,5.766
95,7.39
96,0.545
97,0.789
98,2.428
99,0.757
100,2.545
101,0.708
102,0.701
103,0.239
104,0.018
105,0.019
106,0.096
107,0.077
108,0.025
109,1.236
110,0.805
111,0.086
112,0.007
113,0
114,0.102
115,0.206
116,0.013
117,0.026
118,0.021
119,4.257
120,18.715
121,11.828
122,31.123
123,22.576
124,9.438
125,2.593
126,3.794
127,2.664
128,0.993
129,3.448
130,0.168
131,4.444
132,3.253
133,0.121
134,1.327
135,35.982
136,5.052
137,0.216
138,0.023
139,3.683
140,5.458
141,2.966
142,2.837
143,7.508
144,1.428
145,0.456
146,2.88
147,0.178
148,0.427
149,0.119
150,2.501
151,17.013
152,27.431
153,12.797
154,3.674
155,2.111
156,7.118
157,8.36
158,6.504
159,8.713
160,8.82
161,16.28
162,28.125
163,8.93
164,5.699
165,5.688
166,3.767
167,2.755
168,3.362
169,8.3
170,27.911
171,46.642
172,4.479
173,4.415
174,7.673
175,20.288
176,14.51
177,21.127
178,0.887
179,4.342
180,3.582
181,2.843
182,0.729
183,3.191
184,0.752
185,4.686
186,4.295
187,5.328
188,2.276
189,8.801
190,7.836
191,0.564
192,0.887
193,5.687
194,18.006
195,17.217
196,0.818
197,1.093
198,2.064
199,2.24
200,3.095
201,4.683
202,6.666
203,2.938
204,6.086
205,4.037
206,8.202
207,1.49
208,1.653
209,3.1
210,2.347
211,2.271
212,3.183
213,8.073
214,11.869
215,4.111
216,9.823
217,38.754
218,9.817
219,1.102
220,1.193
221,7.863
222,2.86
223,1.704
224,5.357
225,1.813
226,8.874
227,8.47
228,6.402
229,2.425
230,3.547
231,3.018
232,0.762
233,0.98
234,3.34
235,0.994
236,0.545
237,1.607
238,4.625
239,7.776
240,12.436
241,8.87
242,5.108
243,12.509
244,9.704
245,2.5
246,1.98
247,2.057
248,3.561
249,5.849
250,4.741
251,11.26
252,7.246
253,10.209
254,16.113
255,14.381
256,3.65
257,8.075
258,10.843
259,2.705
260,1.736
261,1.553
262,5.215
263,10.145
264,18.685
265,10.603
266,8.947
267,18.775
268,36.831
269,48.156
270,6.53
271,4.714
272,5.671
273,3.395
274,16.796
275,17.088
276,1.961
277,1.315
278,1.122
279,1.325
280,5.92
281,16.932
282,10.173
283,15.543
284,5.554
285,12.012
286,8.601
287,6.647
288,11.135
289,16.079
290,69.168
291,37.522
292,38.535
293,27.305
294,15.154
295,14.275
296,29.227
297,13.712
298,17.967
299,6.541
300,1.351
301,4.861
302,11.542
303,9.196
304,0.956
305,1.816
306,1.881
307,11.318
308,11.951
309,20.552
310,2.623
311,1.854
312,1.734
313,3.024
314,8.236
315,5.878
316,9.975
317,8.084
318,20.188
319,8.782
320,16.216
321,5.14
322,26.067
323,16.826
324,15.667
325,1.905
326,1.318
327,1.768
328,3.791
329,11.409
330,34.432
331,11.889
332,3.923
333,0.383
334,6.759
335,29.667
336,5.181
337,3.786
338,5.962
339,7.055
340,2.378
341,3.041
342,2.065
343,2.775
344,3.662
345,3.05
346,9.076
347,8.435
348,11.606
349,7.76
350,0.997
351,2.663
352,4.538
353,18.368
354,24.521
355,5.323
356,11.99
357,0.433
358,1.83
359,7.21
360,0.983
361,3.722
362,7.334
363,4.99
364,6.397
365,2.649
366,5.876
