Run,NumTrees,VarPerNode,ResubMatrix,TrainAcc,Importance,OOB_Error,Val_Acc
run_5,1,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 361, 1, 14, 0, 0, 0, 2, 0, 2, 70], [0, 4, 433, 1, 0, 0, 0, 8, 0, 0, 4], [0, 12, 3, 383, 1, 0, 0, 28, 0, 0, 23], [0, 0, 2, 4, 434, 0, 0, 0, 0, 0, 10], [0, 0, 0, 0, 0, 417, 0, 0, 0, 21, 12], [0, 0, 0, 0, 0, 0, 437, 12, 1, 0, 0], [0, 1, 7, 11, 0, 1, 4, 420, 0, 2, 4], [0, 0, 0, 0, 0, 0, 0, 0, 449, 0, 1], [0, 0, 1, 0, 0, 20, 0, 8, 0, 417, 4], [0, 33, 2, 7, 0, 10, 0, 3, 0, 8, 387]]",0.919555556,"{'b_d': 1.2375039686656573, 'b_w': 1.375753956067978, 'dsm': 2.1731979238963186, 'g_d': 2.603642760292297, 'g_w': 1.021004414056362, 'ndvi_d': 1.002614599244291, 'ndvi_w': 1.2064260954676613, 'ndwi_d': 1.6315414215858817, 'ndwi_w': 1.3228275958123743, 'nir_d': 1.9957973782658642, 'nir_w': 2.183079977578156, 'r_d': 2.2780018429400197, 'r_w': 1.026380632662412, 'slope': 2.670107060121544, 'swir1_d': 0.8292142805711312, 'swir1_w': 1.2258904515169704, 'swir2_d': 1.753352026312629, 'swir2_w': 1.1806222575579504, 'tpi_500': 0.7638415530898717}",0.120265781,0.759777778
run_10,25,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 445, 0, 4, 1, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 447, 0, 0, 0, 0, 0, 1, 1], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 446, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 2, 1, 0, 0, 2, 444, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 5, 0, 3, 0, 440, 2], [0, 8, 0, 2, 0, 0, 0, 0, 0, 2, 438]]",0.990444444,"{'b_d': 38.10334528219084, 'b_w': 34.271350322796366, 'dsm': 60.05744371515268, 'g_d': 40.694351808303985, 'g_w': 34.360123919180005, 'ndvi_d': 35.23794942744145, 'ndvi_w': 38.42003465617972, 'ndwi_d': 32.66721870859384, 'ndwi_w': 32.13421676604237, 'nir_d': 45.5728544511006, 'nir_w': 45.115226825867346, 'r_d': 37.0049845691877, 'r_w': 31.92789776498925, 'slope': 29.894446750753612, 'swir1_d': 39.406132758464096, 'swir1_w': 34.35967072014428, 'swir2_d': 32.763797898575895, 'swir2_w': 30.195135685982017, 'tpi_500': 38.9924740561}",0.047555556,0.889333333
run_15,50,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 1, 0], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 447, 0, 0, 0, 2, 1], [0, 0, 0, 0, 0, 0, 449, 1, 0, 0, 0], [0, 0, 1, 1, 0, 0, 2, 445, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 4, 0, 2, 0, 442, 2], [0, 8, 0, 1, 0, 0, 0, 0, 0, 2, 439]]",0.992222222,"{'b_d': 80.96649537563363, 'b_w': 70.8064600646969, 'dsm': 121.41609522893125, 'g_d': 82.94519438931952, 'g_w': 66.40917673480777, 'ndvi_d': 69.68387652546164, 'ndvi_w': 78.03364013443746, 'ndwi_d': 62.43404972082362, 'ndwi_w': 73.50995317175348, 'nir_d': 96.70554832773436, 'nir_w': 86.06768015203997, 'r_d': 73.17798437334879, 'r_w': 69.18450127198805, 'slope': 53.74331418295066, 'swir1_d': 76.53848111748951, 'swir1_w': 74.10607424029024, 'swir2_d': 68.08345992754529, 'swir2_w': 65.47365179730286, 'tpi_500': 78.59608809736837}",0.043333333,0.893333333
run_20,100,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 1], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 445, 0, 0, 0, 4, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 1, 446, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 444, 2], [0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 440]]",0.992888889,"{'b_d': 158.6372828759256, 'b_w': 146.66003882089524, 'dsm': 235.12668307086113, 'g_d': 170.3620657890361, 'g_w': 137.88745950818864, 'ndvi_d': 142.6803278482823, 'ndvi_w': 140.37151095422567, 'ndwi_d': 139.33280512756684, 'ndwi_w': 139.8392509178217, 'nir_d': 186.96741960894676, 'nir_w': 176.87784948157724, 'r_d': 144.68542475246178, 'r_w': 153.0257092028323, 'slope': 113.77468966852314, 'swir1_d': 152.5337618593258, 'swir1_w': 154.3805020717254, 'swir2_d': 137.46159830139777, 'swir2_w': 136.38358444688802, 'tpi_500': 148.4025901870126}",0.044444444,0.894222222
run_25,150,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 447, 0, 2, 1, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 448, 0, 0, 0, 0, 0, 1, 0], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 444, 0, 0, 0, 5, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 1, 446, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 445, 1], [0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 440]]",0.992444444,"{'b_d': 233.57823913634414, 'b_w': 227.28742718582743, 'dsm': 354.4958180698193, 'g_d': 247.2887721389214, 'g_w': 215.09797232416162, 'ndvi_d': 211.44682077342344, 'ndvi_w': 206.23908591194444, 'ndwi_d': 210.780455118098, 'ndwi_w': 203.45509924518578, 'nir_d': 280.28788428140433, 'nir_w': 267.85345403533506, 'r_d': 225.77690133846133, 'r_w': 217.7143851206551, 'slope': 168.59087152309647, 'swir1_d': 230.38923308178516, 'swir1_w': 225.84343814065903, 'swir2_d': 220.05601114243086, 'swir2_w': 210.81940275875633, 'tpi_500': 218.56688474835593}",0.043111111,0.897555556
run_30,200,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 449, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 1, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 444, 0, 0, 0, 5, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 447, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 450, 0, 0], [0, 0, 0, 0, 0, 2, 0, 1, 0, 445, 2], [0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 439]]",0.993555556,"{'b_d': 312.08380441715167, 'b_w': 298.3027928885946, 'dsm': 467.14622758841705, 'g_d': 326.7424858670606, 'g_w': 294.7834642087022, 'ndvi_d': 284.9751959747028, 'ndvi_w': 278.5062085586415, 'ndwi_d': 275.3082211221652, 'ndwi_w': 275.0876685760262, 'nir_d': 371.8905992088127, 'nir_w': 351.5427412330687, 'r_d': 303.8790232376473, 'r_w': 289.7110632506507, 'slope': 221.12773256717762, 'swir1_d': 302.0105978813828, 'swir1_w': 305.74742010512045, 'swir2_d': 295.59845996504714, 'swir2_w': 276.5827887633411, 'tpi_500': 289.2695202806025}",0.042222222,0.899111111
run_35,250,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 1, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 444, 0, 0, 0, 5, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 1, 446, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 450, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 444, 2], [0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 441]]",0.993333333,"{'b_d': 380.9542980157012, 'b_w': 369.5976428190974, 'dsm': 595.5580881920148, 'g_d': 402.5727445911435, 'g_w': 364.613354617798, 'ndvi_d': 353.6270487853443, 'ndvi_w': 354.1202190476392, 'ndwi_d': 353.55604508513903, 'ndwi_w': 335.73009196677737, 'nir_d': 457.11153682946974, 'nir_w': 442.2726005187396, 'r_d': 382.6794278441938, 'r_w': 364.1307138248591, 'slope': 276.6741740808898, 'swir1_d': 380.28938937256686, 'swir1_w': 382.94820470474036, 'swir2_d': 370.43347369848874, 'swir2_w': 348.62752796589, 'tpi_500': 357.095929651123}",0.042444444,0.899111111
run_40,300,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 449, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 444, 0, 0, 0, 5, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 1, 2, 0, 0, 1, 445, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 450, 0, 0], [0, 0, 0, 0, 0, 2, 0, 1, 0, 445, 2], [0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 441]]",0.993555556,"{'b_d': 454.50069286028247, 'b_w': 444.63071763408243, 'dsm': 710.5215882434841, 'g_d': 479.58961513283606, 'g_w': 445.55534400382544, 'ndvi_d': 422.5991728221013, 'ndvi_w': 422.7223443764889, 'ndwi_d': 421.0837541980725, 'ndwi_w': 398.80285487208255, 'nir_d': 540.5315498519858, 'nir_w': 539.072480502576, 'r_d': 463.13921041135455, 'r_w': 439.8678757157169, 'slope': 332.56397564014253, 'swir1_d': 453.723848738429, 'swir1_w': 456.68494818706915, 'swir2_d': 452.34702895644347, 'swir2_w': 416.1592415220921, 'tpi_500': 430.080952507536}",0.041777778,0.899555556
run_45,350,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 444, 0, 0, 0, 5, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 1, 446, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 450, 0, 0], [0, 0, 0, 0, 0, 2, 0, 1, 0, 445, 2], [0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 441]]",0.994222222,"{'b_d': 533.2860842319628, 'b_w': 517.0039848284923, 'dsm': 824.2366342093685, 'g_d': 550.4893866096518, 'g_w': 527.8577200401232, 'ndvi_d': 488.8541976572255, 'ndvi_w': 494.12966917250594, 'ndwi_d': 492.60269282396075, 'ndwi_w': 464.9409239155527, 'nir_d': 632.8139453943761, 'nir_w': 622.3012969850212, 'r_d': 538.9119757354753, 'r_w': 505.3838579356354, 'slope': 388.02140494024667, 'swir1_d': 530.8740580201111, 'swir1_w': 534.1870823485193, 'swir2_d': 532.666678837816, 'swir2_w': 482.8467441615691, 'tpi_500': 500.176322915158}",0.041555556,0.897333333
run_50,400,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 444, 0, 0, 0, 5, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 1, 446, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 450, 0, 0], [0, 0, 0, 0, 0, 2, 0, 1, 0, 445, 2], [0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 441]]",0.994222222,"{'b_d': 615.5957926591644, 'b_w': 596.2641023385074, 'dsm': 935.7773450695461, 'g_d': 630.4939170463815, 'g_w': 601.714223063806, 'ndvi_d': 564.2439592733508, 'ndvi_w': 565.797335293586, 'ndwi_d': 563.6750569623761, 'ndwi_w': 530.1857573685303, 'nir_d': 727.7965576229896, 'nir_w': 710.5293604686728, 'r_d': 616.3793266818429, 'r_w': 580.615368587243, 'slope': 442.94567969705525, 'swir1_d': 610.7776291094634, 'swir1_w': 602.186265930273, 'swir2_d': 609.6713296329447, 'swir2_w': 546.5459817826467, 'tpi_500': 567.1935559401119}",0.041777778,0.897777778
