Run,NumTrees,VarPerNode,ResubMatrix,TrainAcc,Importance,OOB_Error,Val_Acc
run_1,1,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 336, 9, 33, 17, 0, 1, 13, 0, 4, 37], [0, 12, 404, 5, 1, 0, 0, 18, 0, 1, 9], [0, 28, 8, 378, 8, 0, 0, 19, 0, 1, 8], [0, 10, 0, 26, 412, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 407, 2, 1, 0, 30, 10], [0, 0, 2, 0, 0, 0, 438, 9, 0, 1, 0], [0, 3, 20, 10, 0, 1, 2, 406, 0, 6, 2], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 1, 0, 0, 46, 3, 8, 0, 387, 5], [0, 36, 7, 20, 15, 5, 0, 2, 0, 10, 355]]",0.882666667,"{'b_d': 2.425300078709994, 'b_w': 1.430978533842802, 'dsm': 3.4251543288059807, 'g_d': 1.712443133765648, 'g_w': 3.040464805125502, 'ndvi_d': 2.189208644694182, 'ndvi_w': 3.7925507260570805, 'ndwi_d': 3.2411560683818466, 'ndwi_w': 4.672063463725799, 'nir_d': 2.08132782042176, 'nir_w': 3.734316429535414, 'r_d': 2.4429082785578045, 'r_w': 1.5068601776427766, 'slope': 3.927608866648009, 'swir1_d': 2.564018074349778, 'swir1_w': 2.6351602665893634, 'swir2_d': 3.2833191041197307, 'swir2_w': 2.63144025039767, 'tpi_500': 3.759477836997075}",0.174750831,0.737111111
run_6,25,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 447, 0, 2, 0, 0, 0, 0, 0, 0, 1], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 444, 0, 0, 0, 1, 0, 1, 2], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 446, 0, 0, 0, 1, 3], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0, 442, 0, 3, 1], [0, 0, 0, 0, 0, 0, 1, 1, 448, 0, 0], [0, 0, 0, 0, 0, 4, 0, 3, 0, 441, 2], [0, 8, 1, 0, 0, 2, 0, 1, 0, 1, 437]]",0.989333333,"{'b_d': 72.08681580742925, 'b_w': 63.77419130469655, 'dsm': 73.87021728235442, 'g_d': 70.84640018984724, 'g_w': 70.83134892098471, 'ndvi_d': 71.20288634884425, 'ndvi_w': 71.9097078700553, 'ndwi_d': 71.60447077669431, 'ndwi_w': 71.70074465106154, 'nir_d': 82.99953707707772, 'nir_w': 78.86634569418123, 'r_d': 66.46065863391856, 'r_w': 69.15928838519196, 'slope': 55.378651939679784, 'swir1_d': 68.29323381884846, 'swir1_w': 67.88552310907957, 'swir2_d': 70.69730739234056, 'swir2_w': 77.0812163791134, 'tpi_500': 72.12083021674317}",0.064666667,0.877777778
run_11,50,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 446, 0, 3, 0, 0, 0, 0, 0, 0, 1], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 447, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 4, 0, 1, 0, 444, 1], [0, 6, 2, 0, 0, 0, 0, 0, 0, 1, 441]]",0.993777778,"{'b_d': 137.85174757209492, 'b_w': 140.19242593110448, 'dsm': 155.82760409703852, 'g_d': 143.2841972994874, 'g_w': 140.47301068925933, 'ndvi_d': 141.05278092559686, 'ndvi_w': 136.17230054758528, 'ndwi_d': 143.6378028408877, 'ndwi_w': 141.91426190293132, 'nir_d': 160.1914073458902, 'nir_w': 151.21142495141197, 'r_d': 128.1101332701024, 'r_w': 140.5716573446929, 'slope': 119.95718192779059, 'swir1_d': 133.12169404946056, 'swir1_w': 145.73331619936832, 'swir2_d': 140.65893934150745, 'swir2_w': 150.1385618073577, 'tpi_500': 126.57368699850619}",0.056,0.889777778
run_16,100,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 449, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 446, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 2, 0, 1, 0, 445, 2], [0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 444]]",0.995111111,"{'b_d': 278.3936147273005, 'b_w': 275.735259426783, 'dsm': 305.1674057670081, 'g_d': 289.64631412221837, 'g_w': 284.00917907199414, 'ndvi_d': 295.3283522921565, 'ndvi_w': 275.93890380761644, 'ndwi_d': 299.0025888170249, 'ndwi_w': 270.05414916956926, 'nir_d': 311.1827603593182, 'nir_w': 297.5421938025869, 'r_d': 264.1254756144391, 'r_w': 293.59122714416196, 'slope': 245.02442357715123, 'swir1_d': 279.7905938172618, 'swir1_w': 271.9355962165391, 'swir2_d': 281.87715311244744, 'swir2_w': 294.598600826013, 'tpi_500': 244.88364586995334}",0.052888889,0.890666667
run_21,150,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 449, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 447, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 444, 2], [0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 446]]",0.996,"{'b_d': 416.37015672352754, 'b_w': 414.45748059769653, 'dsm': 464.7168044305634, 'g_d': 447.1576554499022, 'g_w': 418.5251694059463, 'ndvi_d': 442.1652127102589, 'ndvi_w': 411.22242764800325, 'ndwi_d': 436.65972305224113, 'ndwi_w': 407.6400176363646, 'nir_d': 462.7259545672896, 'nir_w': 451.88115473945237, 'r_d': 407.26245620324363, 'r_w': 428.8275606253752, 'slope': 364.90317316885006, 'swir1_d': 415.9509871010363, 'swir1_w': 419.12298397662727, 'swir2_d': 434.9202637854119, 'swir2_w': 450.7885195719958, 'tpi_500': 371.97788750515633}",0.052,0.895333333
run_26,200,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 449, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 1, 446, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 444, 2], [0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 445]]",0.995555556,"{'b_d': 555.2446290360463, 'b_w': 553.5443522536169, 'dsm': 610.9240649255532, 'g_d': 572.490654490095, 'g_w': 552.3431132508599, 'ndvi_d': 582.7316814621463, 'ndvi_w': 548.4215223674768, 'ndwi_d': 580.2754023853564, 'ndwi_w': 542.7832283426986, 'nir_d': 611.5374633426071, 'nir_w': 599.6737544329035, 'r_d': 553.3358365723798, 'r_w': 576.3328735991882, 'slope': 477.0981380703384, 'swir1_d': 560.6388527807975, 'swir1_w': 571.0167532003277, 'swir2_d': 579.9926381115042, 'swir2_w': 599.1038977663693, 'tpi_500': 490.7542609480049}",0.049555556,0.896666667
run_31,250,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 1, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 1, 447, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 444, 2], [0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 445]]",0.995555556,"{'b_d': 685.544858622113, 'b_w': 698.3201895834626, 'dsm': 765.8028900256398, 'g_d': 721.1319662597879, 'g_w': 692.3897078285817, 'ndvi_d': 710.0472584454417, 'ndvi_w': 695.5502634293522, 'ndwi_d': 716.2351160725266, 'ndwi_w': 695.2490164146043, 'nir_d': 746.9925102816932, 'nir_w': 750.2373542920825, 'r_d': 697.1655837382483, 'r_w': 724.2187211318015, 'slope': 593.6462283079156, 'swir1_d': 700.7532296453154, 'swir1_w': 713.7317833123999, 'swir2_d': 737.7857105935556, 'swir2_w': 749.4756759073365, 'tpi_500': 607.4667065664725}",0.048222222,0.897333333
run_36,300,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 449, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 447, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 2, 0, 1, 0, 446, 1], [0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 445]]",0.996444444,"{'b_d': 817.039039309989, 'b_w': 828.3886704876617, 'dsm': 926.8440708233782, 'g_d': 853.8690949022838, 'g_w': 839.717853910464, 'ndvi_d': 842.2526375397042, 'ndvi_w': 829.3619486574206, 'ndwi_d': 846.1029681092915, 'ndwi_w': 827.2877966993278, 'nir_d': 897.0021188598799, 'nir_w': 896.2401574637538, 'r_d': 833.4346502930864, 'r_w': 853.5110180977799, 'slope': 714.9424371678483, 'swir1_d': 847.2633082238677, 'swir1_w': 864.8801809969575, 'swir2_d': 888.7976404268102, 'swir2_w': 873.662794477362, 'tpi_500': 733.4778472802855}",0.048666667,0.898666667
run_41,350,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 446, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 447, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 445, 1], [0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 446]]",0.995777778,"{'b_d': 962.0113065237986, 'b_w': 964.2161428117938, 'dsm': 1087.9482337392687, 'g_d': 998.1013965146097, 'g_w': 982.0117883191276, 'ndvi_d': 980.7369198769379, 'ndvi_w': 967.5222979714644, 'ndwi_d': 972.1706662400379, 'ndwi_w': 958.6994654030153, 'nir_d': 1040.452127601927, 'nir_w': 1047.1662070985194, 'r_d': 984.6030519385076, 'r_w': 1003.0219808962466, 'slope': 827.2319987541734, 'swir1_d': 995.3629731421827, 'swir1_w': 1023.9996771273899, 'swir2_d': 1038.4581462312187, 'swir2_w': 1002.5030758429369, 'tpi_500': 849.6230300250863}",0.048444444,0.898222222
run_46,400,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 448, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 444, 2], [0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 446]]",0.996222222,"{'b_d': 1104.614642057324, 'b_w': 1110.720980532287, 'dsm': 1241.1933737533016, 'g_d': 1144.3951173073872, 'g_w': 1126.3605372353861, 'ndvi_d': 1120.5439875660488, 'ndvi_w': 1100.381368037861, 'ndwi_d': 1112.6603329251286, 'ndwi_w': 1097.0938513601632, 'nir_d': 1183.2323561535898, 'nir_w': 1188.1088637524351, 'r_d': 1122.2821960186252, 'r_w': 1134.205631872962, 'slope': 933.6911167039418, 'swir1_d': 1143.4411359535657, 'swir1_w': 1186.5450791343685, 'swir2_d': 1182.991832212321, 'swir2_w': 1147.2657959046678, 'tpi_500': 980.4368898183596}",0.049555556,0.897111111
